Donor,Location Name,FID of the park,Zone,Location latitude,Location longitude,Unique ID of the Percolation well,Percolation well latitude,Percolation well longitude,,,,,,,,
Morgan Stanley,Kittoor Rani Chennamma Park,,Yelahanka Zone,,,MS11,13.1,77.57628,,,,,,,,
Morgan Stanley,Kittoor Rani Chennamma Park,,Yelahanka Zone,,,MS12,13.10017,77.57627,,,,,,,,
Morgan Stanley,Kittoor Rani Chennamma Park,,Yelahanka Zone,,,MS13,13.10028,77.57635,,,,,,,,
Morgan Stanley,Kittoor Rani Chennamma Park,,Yelahanka Zone,,,MS14,13.10036,77.57619,,,,,,,,
Morgan Stanley,Kittoor Rani Chennamma Park,,Yelahanka Zone,,,MS15,13.10054,77.57595,,,,,,,,
Morgan Stanley,Kittoor Rani Chennamma Park,,Yelahanka Zone,,,MS16,13.10055,77.5759,,,,,,,,
Morgan Stanley,Kittoor Rani Chennamma Park,,Yelahanka Zone,,,MS18,13.10126,77.57337,,,,,,,,
Morgan Stanley,Kittoor Rani Chennamma Park,,Yelahanka Zone,,,MS19,13.10142,77.57311,,,,,,,,
Morgan Stanley,Kittoor Rani Chennamma Park,,Yelahanka Zone,,,MS62,13.10104,77.57346,,,,,,,,
Morgan Stanley,Kittoor Rani Chennamma Park,,Yelahanka Zone,,,MS63,13.10113,77.57367,,,,,,,,
Morgan Stanley,Kittoor Rani Chennamma Park,,Yelahanka Zone,,,MS64,13.10093,77.57364,,,,,,,,
Morgan Stanley,Kittoor Rani Chennamma Park,,Yelahanka Zone,,,MS65,13.10087,77.57398,,,,,,,,
Morgan Stanley,Kittoor Rani Chennamma Park,,Yelahanka Zone,,,MS66,13.10057,77.57423,,,,,,,,
Morgan Stanley,Kittoor Rani Chennamma Park,,Yelahanka Zone,,,MS67,13.10058,77.57519,,,,,,,,
Morgan Stanley,Kittoor Rani Chennamma Park,,Yelahanka Zone,,,MS68,13.10043,77.57586,,,,,,,,
Morgan Stanley,Kittoor Rani Chennamma Park,,Yelahanka Zone,,,MS69,13.10032,77.576,,,,,,,,
Morgan Stanley,Kittoor Rani Chennamma Park,,Yelahanka Zone,,,MS70,13.09971,77.57624,,,,,,,,
Morgan Stanley,Kittoor Rani Chennamma Park,,Yelahanka Zone,,,MS71,13.10047,77.57614,,,,,,,,
Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,,Yelahanka Zone,,,MS28,13.10084,77.57302,,,,,,,,
Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,,Yelahanka Zone,,,MS29,13.10079,77.57276,,,,,,,,
Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,,Yelahanka Zone,,,MS30,13.10078,77.57265,,,,,,,,
Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,,Yelahanka Zone,,,MS31,13.10082,77.57256,,,,,,,,
Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,,Yelahanka Zone,,,MS32,13.10081,77.57243,,,,,,,,
Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,,Yelahanka Zone,,,MS33,13.10069,77.57159,,,,,,,,
Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,,Yelahanka Zone,,,MS34,13.10053,77.57145,,,,,,,,
Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,,Yelahanka Zone,,,MS36,13.10041,77.57118,,,,,,,,
Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,,Yelahanka Zone,,,MS37,13.09992,77.57118,,,,,,,,
Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,,Yelahanka Zone,,,MS38,13.10047,77.57253,,,,,,,,
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS42,13.09891,77.57165,,,,,,,,
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS43,13.09924,77.5718,,,,,,,,
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS47,13.09945,77.5719,,,,,,,,
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS48,13.0995,77.57204,,,,,,,,
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS50,13.09972,77.57218,,,,,,,,
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS51,13.09969,77.57229,,,,,,,,
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS53,13.09957,77.5724,,,,,,,,
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS55,13.09962,77.57225,,,,,,,,
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS80,13.09946,77.57284,,,,,,,,
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS81,13.09966,77.57296,,,,,,,,
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS82,13.09984,77.57299,,,,,,,,
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS83,13.09979,77.57294,,,,,,,,
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS84,13.09978,77.5728,,,,,,,,
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS85,13.09963,77.57276,,,,,,,,
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS52,13.09905,77.57135,,,,,,,,
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS54,13.09913,77.57144,,,,,,,,
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS35,13.09971,77.572,,,,,,,,
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS39,13.09945,77.57246,,,,,,,,
Morgan Stanley,Chowdeshwari Park,,Yelahanka Zone,,,MS25,13.10237,77.57383,,,,,,,,
Morgan Stanley,Chowdeshwari Park,,Yelahanka Zone,,,MS27,13.1022,77.57368,,,,,,,,
Morgan Stanley,Chowdeshwari Park,,Yelahanka Zone,,,MS26,13.10238,77.57364,,,,,,,,
Morgan Stanley,Chowdeshwari Park,,Yelahanka Zone,,,MS28,13.1023,77.57404,,,,,,,,
Morgan Stanley,Panchakshari Gawai Park,,Yelahanka Zone,,,MS1,13.10321,77.57446,,,,,,,,
Morgan Stanley,Panchakshari Gawai Park,,Yelahanka Zone,,,MS2,13.10332,77.57448,,,,,,,,
Morgan Stanley,Panchakshari Gawai Park,,Yelahanka Zone,,,MS3,13.10321,77.57487,,,,,,,,
Morgan Stanley,Panchakshari Gawai Park,,Yelahanka Zone,,,MS4,13.10313,77.57483,,,,,,,,
Morgan Stanley,Panchakshari Gawai Park,,Yelahanka Zone,,,MS5,13.10309,77.5748,,,,,,,,
Morgan Stanley,Panchakshari Gawai Park,,Yelahanka Zone,,,MS6,13.10294,77.57479,,,,,,,,
Morgan Stanley,Panchakshari Gawai Park,,Yelahanka Zone,,,MS7,13.10286,77.57448,,,,,,,,
Morgan Stanley,Panchakshari Gawai Park,,Yelahanka Zone,,,MS8,13.10297,77.57446,,,,,,,,
Morgan Stanley,Panchakshari Gawai Park,,Yelahanka Zone,,,MS9,13.10299,77.57451,,,,,,,,
Ujjivan Bank,Santa Sevalal Maharaj Park,,Yelahanka Zone,,,U6,13.10679,77.57263,,,,,,,,
Ujjivan Bank,Santa Sevalal Maharaj Park,,Yelahanka Zone,,,U7,13.10683,77.57278,,,,,,,,
PWC,Duo Marvel layout Park,,Yelahanka Zone,,,PWC99,13.11779,77.56949,,,,,,,,
PWC,Duo Marvel layout Park,,Yelahanka Zone,,,PWC100,13.11772,77.56926,,,,,,,,
PWC,Duo Marvel layout Park,,Yelahanka Zone,,,PWC101,13.11772,77.56915,,,,,,,,
PWC,Duo Marvel layout Park,,Yelahanka Zone,,,PWC102,13.11785,77.56928,,,,,,,,
PWC,Duo Marvel layout Park,,Yelahanka Zone,,,PWC103,13.11805,77.5695,,,,,,,,
PWC,Defence Layout Park Devamatha School,,Yelahanka Zone,,,PWC90,13.08349,77.55749,,,,,,,,
PWC,Defence Layout Park Devamatha School,,Yelahanka Zone,,,PWC91,13.0834,77.55737,,,,,,,,
PWC,Defence Layout Park Devamatha School,,Yelahanka Zone,,,PWC92,13.08305,77.55709,,,,,,,,
PWC,Defence Layout Park Devamatha School,,Yelahanka Zone,,,PWC93,13.08345,77.55713,,,,,,,,
PWC,Defence Layout Park Devamatha School,,Yelahanka Zone,,,PWC-94,13.08375,77.55739,,,,,,,,
PWC,Defence Layout Park Devamatha School,,Yelahanka Zone,,,PWC95,13.08357,77.55759,,,,,,,,
Broadcom,"CAR Headquarters, chamarajepete",,west zone,,,B81,12.96214,77.56001,,,,,,,,
Broadcom,"CAR Headquarters, chamarajepete",,west zone,,,B82,12.96212,77.56011,,,,,,,,
Broadcom,"CAR Headquarters, chamarajepete",,west zone,,,B83,12.96213,77.56015,,,,,,,,
Broadcom,"CAR Headquarters, chamarajepete",,west zone,,,B84,12.96215,77.56018,,,,,,,,
Broadcom,"CAR Headquarters, chamarajepete",,west zone,,,B85,12.96239,77.56017,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-151,12.94954,77.58524,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-152,12.94771,77.58446,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-153,12.94702,77.58796,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-154,12.94927,77.5851,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-155,12.94912,77.58507,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-156,12.94913,77.58501,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-157,12.94848,77.58355,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-158,12.94882,77.58355,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-159,12.94906,77.58324,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-160,12.9489,77.58312,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-161,12.94836,77.58293,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-162,12.9486,77.58255,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-163,12.94777,77.58454,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-164,12.94848,77.5825,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-165,12.94761,77.58809,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-166,12.94835,77.58242,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-167,12.94842,77.58229,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-168,12.94847,77.58221,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-169,12.9486,77.58227,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-170,12.94855,77.58158,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-171,12.94865,77.5816,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-172,12.94867,77.58147,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-173,12.9486,77.58128,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-174,12.94779,77.58458,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-175,12.94857,77.58094,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-176,12.94829,77.5813,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-177,12.94769,77.58791,,,,,,,,
Broadcom,"CAR Headquarters, chamarajepete",,west zone,,,B86,12.9625,77.56021,,,,,,,,
Broadcom,NPS School Park,,Bommanahalli Zone,,,B-487,12.89964,77.52955,,,,,,,,
Broadcom,"CAR Headquarters, chamarajepete",,west zone,,,B87,12.9625,77.56033,,,,,,,,
Broadcom,NPS School Park,,Bommanahalli Zone,,,B-488,12.89965,77.5297,,,,,,,,
Broadcom,"CAR Headquarters, chamarajepete",,west zone,,,B88,12.96249,77.56036,,,,,,,,
Broadcom,"CAR Headquarters, chamarajepete",,west zone,,,B89,12.96262,77.56034,,,,,,,,
Broadcom,NPS School Park,,Bommanahalli Zone,,,B-489,12.89965,77.53002,,,,,,,,
Broadcom,NPS School Park,,Bommanahalli Zone,,,B-490,12.89969,77.53018,,,,,,,,
Broadcom,"CAR Headquarters, chamarajepete",,west zone,,,B90,12.96268,77.56043,,,,,,,,
Broadcom,Ramachandra pura park,,Bommanahalli Zone,,,B-491,12.91621,77.54278,,,,,,,,
Broadcom,"CAR Headquarters, chamarajepete",,west zone,,,B91,12.96269,77.56058,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-178,12.94811,77.58123,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-179,12.94793,77.58121,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-180,12.94787,77.58109,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-181,12.94774,77.58071,,,,,,,,
Mphasis,Lalbagh,,Bommanahalli Zone,,,M-182,12.94778,77.58059,,,,,,,,
Broadcom,"CAR Headquarters, chamarajepete",,west zone,,,B92,12.96267,77.56064,,,,,,,,
Broadcom,"CAR Headquarters, chamarajepete",,west zone,,,B93,12.96273,77.56063,,,,,,,,
Broadcom,"CAR Headquarters, chamarajepete",,west zone,,,B94,12.96275,77.56048,,,,,,,,
Broadcom,"CAR Headquarters, chamarajepete",,west zone,,,B95,12.96337,77.56377,,,,,,,,
Broadcom,"CAR Headquarters, chamarajepete",,west zone,,,B96,12.96347,77.56378,,,,,,,,
Broadcom,"CAR Headquarters, chamarajepete",,west zone,,,B97,12.96388,77.56384,,,,,,,,
Broadcom,"CAR Headquarters, chamarajepete",,west zone,,,B98,12.96396,77.56384,,,,,,,,
Broadcom,"CAR Headquarters, chamarajepete",,west zone,,,B99,12.96398,77.56374,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC -760,13.0983,77.58018,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-376,13.09834,77.57996,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-383,13.0981,77.57944,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-385,13.09825,77.57944,,,,,,,,
Zebra,Kidwai Hospital,,South zone,,,PW31,12.93403,77.59463,,,,,,,,
Zebra,Kidwai Hospital,,South zone,,,PW32,12.93391,77.59406,,,,,,,,
Zebra,Kidwai Hospital,,South zone,,,PW33,12.93411,77.59416,,,,,,,,
Zebra,Kidwai Hospital,,South zone,,,PW34,12.93418,77.59417,,,,,,,,
Zebra,Kidwai Hospital,,South zone,,,PW35,12.93402,77.59413,,,,,,,,
Zebra,Kidwai Hospital,,South zone,,,PW36,12.93436,77.59479,,,,,,,,
Zebra,Kidwai Hospital,,South zone,,,PW37,12.93417,77.59426,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-386,13.09838,77.57949,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-387,13.09834,77.57954,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-388,13.09829,77.57947,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-390,13.09805,77.5794,,,,,,,,
Mphasis,"Jayanagar 4th T Block, 28th Main Park(Bangalore one office)",,south zone,,,M-128,12.92602,77.59325,,,,,,,,
Mphasis,"Jayanagar 4th T Block, 28th Main Park(Bangalore one office)",,south zone,,,M-129,12.92615,77.59339,,,,,,,,
Mphasis,"Jayanagar 4th T Block, 28th Main Park(Bangalore one office)",,south zone,,,M-130,12.92589,77.59336,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-391,13.09806,77.5794,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-392,13.09795,77.57922,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-393,13.09789,77.57923,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-394,13.09806,77.57943,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-398,13.09769,77.57934,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-399,13.09793,77.5792,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-400,13.09802,77.57917,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-401,13.09813,77.5791,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-402,13.09809,77.5791,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-403,13.09819,77.57909,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-404,13.09824,77.57908,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-405,13.09827,77.57914,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-406,13.09836,77.57995,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-407,13.09834,77.57993,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-408,13.0983,77.57981,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-409,13.09827,77.57986,,,,,,,,
Broadcom,Yogi Vemana Park,,Yelahanka Zone,,,BC-413,13.09869,77.57246,,,,,,,,
Broadcom,Sri Yogi Vemanna Park,,Yelahanka Zone,,,BC-413,13.09869,77.57246,,,,,,,,
Broadcom,Yogi Vemana Park,,Yelahanka Zone,,,BC-414,13.09863,77.57238,,,,,,,,
Broadcom,Sri Yogi Vemanna Park,,Yelahanka Zone,,,BC-414,13.09863,77.57238,,,,,,,,
Broadcom,Yogi Vemana Park,,Yelahanka Zone,,,BC-415,13.09863,77.57231,,,,,,,,
Broadcom,Sri Yogi Vemanna Park,,Yelahanka Zone,,,BC-415,13.09863,77.57231,,,,,,,,
Broadcom,Yogi Vemana Park,,Yelahanka Zone,,,BC-416,13.09859,77.57198,,,,,,,,
Broadcom,Sri Yogi Vemanna Park,,Yelahanka Zone,,,BC-416,13.09859,77.57198,,,,,,,,
Broadcom,Rashtrakavi kuvempu Park,,Yelahanka Zone,,,BC-740,13.10383,77.57383,,,,,,,,
Broadcom,Rashtrakavi kuvempu Park,,Yelahanka Zone,,,BC-741,13.10379,77.57386,,,,,,,,
Broadcom,Rashtrakavi kuvempu Park,,Yelahanka Zone,,,BC-742,13.10357,77.57405,,,,,,,,
Broadcom,Rashtrakavi kuvempu Park,,Yelahanka Zone,,,BC-743,13.10353,77.57395,,,,,,,,
Broadcom,Rashtrakavi kuvempu Park,,Yelahanka Zone,,,BC-744,13.10356,77.57395,,,,,,,,
Broadcom,Rashtrakavi kuvempu Park,,Yelahanka Zone,,,BC-745,13.10379,77.574,,,,,,,,
Broadcom,Cauvery Park,,Yelahanka Zone,,,BC-755,13.09843,77.57691,,,,,,,,
Broadcom,Cauvery Park,,Yelahanka Zone,,,BC-756,13.09804,77.5768,,,,,,,,
Broadcom,Cauvery Park,,Yelahanka Zone,,,BC-757,13.09817,77.57711,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-761,13.09828,77.57991,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-762,13.09826,77.58013,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-763,13.09789,77.57966,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-764,13.09804,77.57944,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-765,13.09777,77.57933,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-766,13.09774,77.57949,,,,,,,,
Broadcom,Sir. M Vishveshwaraiah Park,,Yelahanka Zone,,,BC-767,13.09783,77.57961,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC1,13.07701,77.62554,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC10,13.07745,77.62673,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC11,13.07773,77.62684,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC12,13.0777,77.62693,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC13,13.07765,77.62699,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC14,13.07764,77.62708,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC15,13.07776,77.62694,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC16,13.0778,77.62686,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC17,13.07778,77.62694,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC18,13.07782,77.62691,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC19,13.07786,77.62684,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC2,13.07723,77.62573,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC20,13.07704,77.62826,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC24,13.07758,77.62704,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC21,13.07705,77.62833,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC22,13.07703,77.62843,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC25,13.07788,77.627,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC23,13.07702,77.62844,,,,,,,,
Broadcom,Visvaswariah Enclave Park,,Dasarahalli Zone,,,BC231,13.06555,77.53345,,,,,,,,
Broadcom,Visvaswariah Enclave Park,,Dasarahalli Zone,,,BC232,13.06558,77.53338,,,,,,,,
Broadcom,Visvaswariah Enclave Park,,Dasarahalli Zone,,,BC233,13.06554,77.53332,,,,,,,,
Broadcom,Visvaswariah Enclave Park,,Dasarahalli Zone,,,BC234,13.06571,77.53312,,,,,,,,
Broadcom,Shettihalli Anjaneya Temple Park,,Dasarahalli Zone,,,BC236,13.06662,77.51682,,,,,,,,
Broadcom,Shettihalli Anjaneya Temple Park,,Dasarahalli Zone,,,BC237,13.06664,77.51698,,,,,,,,
Broadcom,Shettihalli Anjaneya Temple Park,,Dasarahalli Zone,,,BC238,13.06664,77.51709,,,,,,,,
Broadcom,Shettihalli Anjaneya Temple Park,,Dasarahalli Zone,,,BC239,13.06667,77.51669,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC24,13.07697,77.62836,,,,,,,,
Broadcom,Shettihalli Anjaneya Temple Park,,Dasarahalli Zone,,,BC240,13.06679,77.51638,,,,,,,,
Broadcom,Shettyhalli Park -1,,Dasarahalli Zone,,,BC241,13.06407,77.51468,,,,,,,,
Broadcom,Shettyhalli Park -1,,Dasarahalli Zone,,,BC242,13.06405,77.51462,,,,,,,,
Broadcom,Shettihalli park-2,,Dasarahalli Zone,,,BC244,13.06413,77.51444,,,,,,,,
Broadcom,Shettihalli park-2,,Dasarahalli Zone,,,BC245,13.06412,77.51422,,,,,,,,
Broadcom,Shettihalli park-2,,Dasarahalli Zone,,,BC247,13.06408,77.51443,,,,,,,,
Broadcom,MEI Layout Park 5,,Dasarahalli zone,,,BC248,13.05829,77.50542,,,,,,,,
Broadcom,MEI Layout Park 5,,Dasarahalli zone,,,BC249,13.05831,77.50541,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC25,13.07688,77.62844,,,,,,,,
Broadcom,MEI Layout Park 5,,Dasarahalli zone,,,BC250,13.05834,77.50525,,,,,,,,
Broadcom,MEI Layout Park 5,,Dasarahalli zone,,,BC251,13.05845,77.50538,,,,,,,,
Broadcom,MEI Layout Park 5,,Dasarahalli zone,,,BC252,13.05842,77.50536,,,,,,,,
Broadcom,MEI Layout Park 5,,Dasarahalli zone,,,BC253,13.0584,77.50515,,,,,,,,
Broadcom,MEI Layout Park 5,,Dasarahalli zone,,,BC254,13.05838,77.50498,,,,,,,,
Broadcom,MEI Layout Park 5,,Dasarahalli zone,,,BC255,13.05842,77.50498,,,,,,,,
Broadcom,MEI Layout Park 5,,Dasarahalli zone,,,BC256,13.05865,77.50503,,,,,,,,
Broadcom,MEI Layout Park 5,,Dasarahalli zone,,,BC257,13.0586,77.50499,,,,,,,,
Broadcom,Nela Maheshwari Park,,Dasarahalli Zone,,,BC258,13.04899,77.51055,,,,,,,,
Broadcom,Nela Maheshwari Park,,Dasarahalli Zone,,,BC259,13.04888,77.51069,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC26,13.07693,77.62849,,,,,,,,
Broadcom,Nela Maheshwari Park,,Dasarahalli Zone,,,BC260,13.04912,77.51062,,,,,,,,
Broadcom,Gruhalakshmi Layout Park 2,,Dasarahalli zone,,,BC261,13.03265,77.49814,,,,,,,,
Broadcom,Gruhalakshmi Layout Park 2,,Dasarahalli zone,,,BC262,13.0326,77.4981,,,,,,,,
Broadcom,Gruhalakshmi Layout Park 2,,Dasarahalli zone,,,BC263,13.03258,77.49821,,,,,,,,
Broadcom,Gruhalakshmi Layout Park 2,,Dasarahalli zone,,,BC264,13.03239,77.4982,,,,,,,,
Broadcom,Gruhalakshmi Layout Park 2,,Dasarahalli zone,,,BC265,13.03241,77.4984,,,,,,,,
Broadcom,Gruhalakshmi Layout Park 2,,Dasarahalli zone,,,BC266,13.03261,77.49834,,,,,,,,
Broadcom,Gruhalakshmi Layout Park 2,,Dasarahalli zone,,,BC267,13.03257,77.49853,,,,,,,,
Broadcom,Gruhalakshmi Layout Park 2,,Dasarahalli zone,,,BC268,13.0326,77.49856,,,,,,,,
Broadcom,Gurahalakshmi Layout Part 4,,Dasarahalli zone,,,BC269,13.0297,77.49879,,,,,,,,
Broadcom,Police Training School Campus,,Yelahanka Zone,,,BC27,13.07696,77.62854,,,,,,,,
Broadcom,Gurahalakshmi Layout Part 4,,Dasarahalli zone,,,BC270,13.0296,77.49871,,,,,,,,
Broadcom,Gurahalakshmi Layout Part 4,,Dasarahalli zone,,,BC271,13.02965,77.49888,,,,,,,,
Broadcom,Gurahalakshmi Layout Part 4,,Dasarahalli zone,,,BC272,13.02966,77.49899,,,,,,,,
Broadcom,Gurahalakshmi Layout Part 4,,Dasarahalli zone,,,BC273,13.02976,77.49901,,,,,,,,
Broadcom,Gurahalakshmi Layout Part 4,,Dasarahalli zone,,,BC274,13.02983,77.49906,,,,,,,,
Broadcom,Gurahalakshmi Layout Part 4,,Dasarahalli zone,,,BC275,13.02976,77.49921,,,,,,,,
Broadcom,Gurahalakshmi Layout Part 4,,Dasarahalli zone,,,BC276,13.02982,77.49933,,,,,,,,
Broadcom,Gurahalakshmi Layout Part 4,,Dasarahalli zone,,,BC277,13.02983,77.49942,,,,,,,,
