SL No	Donor Name	Location Name	Latitude 	Longitude	Google location	No of Percolation well Constructed	Year of Completion	Zone	Ward Number	Location by Parks/Campuses
449	Happiest Minds	BDA 8th Block -Park-1 (kempagowda layout)	12.9436129	77.4400335	https://maps.app.goo.gl/BydTiVtwtMNnXHNB8	15	Mar-26	RR Nagar Zone		BDA Parks
450	Happiest Minds	BDA 8th Block -Park-2	12.9419671	77.437212	https://maps.app.goo.gl/H93y6xTWeVoE4mtW7	15	Mar-26	RR Nagar Zone		BDA Parks
451	Happiest Minds	BDA 8th Block -Park-3	12.9390423	77.4362916	https://maps.app.goo.gl/M26EPunhQwnKSRsi6	6	Mar-26	RR Nagar Zone		BDA Parks
452	Happiest Minds	BDA 8th Block -Park-4 near Muneshwara temple park	12.9373877	77.4416586	https://maps.app.goo.gl/8fdtGiAyTygyd94n6	24	Mar-26	RR Nagar Zone		BDA Parks
453	Happiest Minds	BDA 8th Block -Park-4 near Renuka Devi Temple	12.9764244	77.4562372	https://maps.app.goo.gl/XP4TmV3gMBcYftvx9	10	Mar-26	RR Nagar Zone		BDA Parks
454	Happiest Minds	Indira Canteen - Ramaswamipalya (Chinnappa Garden)-Park	13.0017784	77.6014337	https://maps.app.goo.gl/mwmEACnm3n845pKQA	3	Mar-26	East Zone		BBMP Parks
455	Happiest Minds	Kempaura Nursery	12.9435293	77.6720163	https://maps.app.goo.gl/6Cm7cTbA6jP547B76	9	Mar-26	East Zone		Forest Dept
456	Happiest Minds	BBMP Nursery Bangalore University	12.9497181	77.5092425	https://maps.app.goo.gl/RfgN4kyuuuaeNw9U9	5	Mar-26	RR Nagar Zone		Forest Dept
457	Happiest Minds	CCT Thathuguni	12.8384567	77.365943	https://maps.app.goo.gl/obqcMra8cEZEdrNfA	22	Mar-26	Bommanahalli Zone		Police campus
458	Happiest Minds	IGMFP	12.9844231	77.5906452	https://maps.app.goo.gl/1DdArUBaBGyCaK5z7	2	Mar-26	South Zone		Horticulture parks
459	Wells Fargo	BBMP Park (Lakshman Rao Park)	12.9205876	77.5790023	https://maps.app.goo.gl/QcUjn6VHftPZ5vgn6	24	Mar-26	South Zone		BBMP Parks
460	Wells Fargo	Shree N Laxman Park opp to Shri Nimishamba Devi Temple	12.9311326	77.580148	https://maps.app.goo.gl/FZ53K8BJxHPhGZiF6	6	Mar-26	South Zone		BBMP Parks
461	Wells Fargo	BDA Park-BBMP Park-near MNE Residency	12.881275	77.552871	https://maps.app.goo.gl/ZQD3XSTuthpqToRCA	22	Mar-26	South Zone		BBMP Parks
462	Wells Fargo	BBMP Park (Munneshwara Temple park)Narayananagar 3rd Block	12.8786679	77.5597559	https://maps.app.goo.gl/8mnkPeWUd8VvRGqs5	5	Mar-26	South Zone		BBMP Parks
463	Wells Fargo	"Doddakallasandra cricket play ground,BBMP"	12.8812364	77.5533884	https://maps.app.goo.gl/9PD5gXRzT62Fxtks7	10	Mar-26	South Zone		BBMP Parks
464	Wells Fargo	"BDA Park,Anjanapura next to Astreon technologies"	12.874023	77.562142	https://maps.app.goo.gl/jUhsT2eKdEnx6By99	8	Mar-26	South Zone		BBMP Parks
465	Wells Fargo	Govt School-Kannamangala	13.0239052	77.7699251	https://maps.app.goo.gl/r3oajYb2nucJWaph8	4	Mar-26	South Zone		Schools and colleges
